START,END,Impact,Season,Stream,SIM.b,sc.delt,dis.simm
CRO1,CRO2,Reference,Fall,CRO (R),0.721311475,3,150
CRO1,CRO3,Reference,Fall,CRO (R),0.696969697,2,520
CRO1,CRO4,Reference,Fall,CRO (R),0.603174603,3,890
CRO1,CRO5,Reference,Fall,CRO (R),0.524590164,11,1275
CRO1,CRO6,Reference,Fall,CRO (R),0.476190476,6,1710
CRO1,CRO7,Reference,Fall,CRO (R),0.524590164,28,2050
CRO2,CRO1,Reference,Fall,CRO (R),0.721311475,3,150
CRO2,CRO3,Reference,Fall,CRO (R),0.782608696,1,370
CRO2,CRO4,Reference,Fall,CRO (R),0.606060606,6,740
CRO2,CRO5,Reference,Fall,CRO (R),0.625,14,1125
CRO2,CRO6,Reference,Fall,CRO (R),0.515151515,9,1560
CRO2,CRO7,Reference,Fall,CRO (R),0.5,25,1900
CRO3,CRO2,Reference,Fall,CRO (R),0.782608696,1,370
CRO3,CRO4,Reference,Fall,CRO (R),0.704225352,5,370
CRO3,CRO5,Reference,Fall,CRO (R),0.666666667,13,755
CRO3,CRO6,Reference,Fall,CRO (R),0.563380282,8,1190
CRO3,CRO7,Reference,Fall,CRO (R),0.52173913,26,1530
CRO4,CRO3,Reference,Fall,CRO (R),0.704225352,5,370
CRO4,CRO5,Reference,Fall,CRO (R),0.787878788,8,385
CRO4,CRO6,Reference,Fall,CRO (R),0.617647059,3,820
CRO4,CRO7,Reference,Fall,CRO (R),0.666666667,31,1160
CRO5,CRO4,Reference,Fall,CRO (R),0.787878788,8,385
CRO5,CRO6,Reference,Fall,CRO (R),0.606060606,5,435
CRO5,CRO7,Reference,Fall,CRO (R),0.6875,39,775
CRO6,CRO5,Reference,Fall,CRO (R),0.606060606,5,435
CRO6,CRO7,Reference,Fall,CRO (R),0.696969697,34,340
CRO7,CRO6,Reference,Fall,CRO (R),0.696969697,34,340
EAS1,EAS2,Reference,Fall,EAS (R),0.733333333,1,300
EAS1,EAS3,Reference,Fall,EAS (R),0.654545455,3,605
EAS1,EAS4,Reference,Fall,EAS (R),0.736842105,4,860
EAS1,EAS5,Reference,Fall,EAS (R),0.75862069,5,1185
EAS1,EAS6,Reference,Fall,EAS (R),0.596491228,6,1505
EAS1,EAS7,Reference,Fall,EAS (R),0.542372881,8,1850
EAS1,EAS8,Reference,Fall,EAS (R),0.551724138,9,2135
EAS2,EAS1,Reference,Fall,EAS (R),0.733333333,1,300
EAS2,EAS3,Reference,Fall,EAS (R),0.679245283,4,305
EAS2,EAS4,Reference,Fall,EAS (R),0.690909091,5,560
EAS2,EAS5,Reference,Fall,EAS (R),0.678571429,6,885
EAS2,EAS6,Reference,Fall,EAS (R),0.690909091,7,1205
EAS2,EAS7,Reference,Fall,EAS (R),0.596491228,9,1550
EAS2,EAS8,Reference,Fall,EAS (R),0.607142857,10,1835
EAS3,EAS2,Reference,Fall,EAS (R),0.679245283,4,305
EAS3,EAS4,Reference,Fall,EAS (R),0.76,1,255
EAS3,EAS5,Reference,Fall,EAS (R),0.784313725,2,580
EAS3,EAS6,Reference,Fall,EAS (R),0.72,3,900
EAS3,EAS7,Reference,Fall,EAS (R),0.576923077,5,1245
EAS3,EAS8,Reference,Fall,EAS (R),0.666666667,6,1530
EAS4,EAS3,Reference,Fall,EAS (R),0.76,1,255
EAS4,EAS5,Reference,Fall,EAS (R),0.754716981,1,325
EAS4,EAS6,Reference,Fall,EAS (R),0.692307692,2,645
EAS4,EAS7,Reference,Fall,EAS (R),0.592592593,4,990
EAS4,EAS8,Reference,Fall,EAS (R),0.566037736,5,1275
EAS5,EAS4,Reference,Fall,EAS (R),0.754716981,1,325
EAS5,EAS6,Reference,Fall,EAS (R),0.679245283,1,320
EAS5,EAS7,Reference,Fall,EAS (R),0.690909091,3,665
EAS5,EAS8,Reference,Fall,EAS (R),0.703703704,4,950
EAS6,EAS5,Reference,Fall,EAS (R),0.679245283,1,320
EAS6,EAS7,Reference,Fall,EAS (R),0.666666667,2,345
EAS6,EAS8,Reference,Fall,EAS (R),0.716981132,3,630
EAS7,EAS6,Reference,Fall,EAS (R),0.666666667,2,345
EAS7,EAS8,Reference,Fall,EAS (R),0.654545455,1,285
EAS8,EAS7,Reference,Fall,EAS (R),0.654545455,1,285
FRY1,FRY2,Low-level,Fall,FRY (L),0.807692308,12,320
FRY1,FRY3,Low-level,Fall,FRY (L),0.711111111,5,615
FRY1,FRY4,Low-level,Fall,FRY (L),0.692307692,22,940
FRY1,FRY5,Low-level,Fall,FRY (L),0.754716981,41,1305
FRY1,FRY6,Low-level,Fall,FRY (L),0.739130435,60,1755
FRY1,FRY7,Low-level,Fall,FRY (L),0.76,196,2095
FRY2,FRY1,Low-level,Fall,FRY (L),0.807692308,12,320
FRY2,FRY3,Low-level,Fall,FRY (L),0.734693878,7,295
FRY2,FRY4,Low-level,Fall,FRY (L),0.75,10,620
FRY2,FRY5,Low-level,Fall,FRY (L),0.807017544,29,985
FRY2,FRY6,Low-level,Fall,FRY (L),0.68,48,1435
FRY2,FRY7,Low-level,Fall,FRY (L),0.777777778,208,1775
FRY3,FRY2,Low-level,Fall,FRY (L),0.734693878,7,295
FRY3,FRY4,Low-level,Fall,FRY (L),0.653061224,17,325
FRY3,FRY5,Low-level,Fall,FRY (L),0.72,36,690
FRY3,FRY6,Low-level,Fall,FRY (L),0.697674419,55,1140
FRY3,FRY7,Low-level,Fall,FRY (L),0.638297872,201,1480
FRY4,FRY3,Low-level,Fall,FRY (L),0.653061224,17,325
FRY4,FRY5,Low-level,Fall,FRY (L),0.701754386,19,365
FRY4,FRY6,Low-level,Fall,FRY (L),0.76,38,815
FRY4,FRY7,Low-level,Fall,FRY (L),0.703703704,218,1155
FRY5,FRY4,Low-level,Fall,FRY (L),0.701754386,19,365
FRY5,FRY6,Low-level,Fall,FRY (L),0.666666667,19,450
FRY5,FRY7,Low-level,Fall,FRY (L),0.690909091,237,790
FRY6,FRY5,Low-level,Fall,FRY (L),0.666666667,19,450
FRY6,FRY7,Low-level,Fall,FRY (L),0.666666667,256,340
FRY7,FRY6,Low-level,Fall,FRY (L),0.666666667,256,340
LLW1,LLW2,High-level,Fall,LLW (H),0.76,17,550
LLW1,LLW3,High-level,Fall,LLW (H),0.784313725,65,810
LLW1,LLW4,High-level,Fall,LLW (H),0.695652174,81,1310
LLW1,LLW5,High-level,Fall,LLW (H),0.55,259,1560
LLW1,LLW6,High-level,Fall,LLW (H),0.454545455,638,1950
LLW2,LLW1,High-level,Fall,LLW (H),0.76,17,550
LLW2,LLW3,High-level,Fall,LLW (H),0.79245283,48,260
LLW2,LLW4,High-level,Fall,LLW (H),0.75,64,760
LLW2,LLW5,High-level,Fall,LLW (H),0.619047619,242,1010
LLW2,LLW6,High-level,Fall,LLW (H),0.52173913,621,1400
LLW3,LLW2,High-level,Fall,LLW (H),0.79245283,48,260
LLW3,LLW4,High-level,Fall,LLW (H),0.775510204,16,500
LLW3,LLW5,High-level,Fall,LLW (H),0.651162791,194,750
LLW3,LLW6,High-level,Fall,LLW (H),0.553191489,573,1140
LLW4,LLW3,High-level,Fall,LLW (H),0.775510204,16,500
LLW4,LLW5,High-level,Fall,LLW (H),0.631578947,178,250
LLW4,LLW6,High-level,Fall,LLW (H),0.571428571,557,640
LLW5,LLW4,High-level,Fall,LLW (H),0.631578947,178,250
