Stream,dist.d,sc.uScm,Season,Impact,totind,Hshannon,Site,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Climb,pClimb,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,rich.INT,rich.TOL,pTOL,vsci
CRO (R),2050,79,Fall,Reference,204,2.663495765,CRO1,0.896722414,29,0.790989536,4,5,8,5,5,25,17,5,3.431372549,14,39.70588235,62.25490196,60.78431373,39.21568627,13,17.6,4,17.6,18.6,18.1,18.6,18.6,18.1,26,22.1,7.8,16.7,1.5,9.31372549,19.6,33.8,66.2,3,4,7,4,5,10,15.2,25,19.1,14.7,24,16.7,19,50.5,6,19.6,0,0,2,15.2,2,14.7,13,0,0,70.37
CRO (R),1900,76,Fall,Reference,207,2.913376642,CRO2,0.922401923,32,0.840622807,6,5,7,6,6,26,18,4,3.8647343,15,36.71497585,53.62318841,51.20772947,35.74879227,12,17.4,5,16.4,15.5,15.5,15.5,15.5,15.5,20.8,19.3,15.9,26.6,0,15.94202899,15.9,30,52.7,5,4,8,5,5,10,15,27.1,22.2,15.9,19.3,16.4,20,49.3,7,28.5,0,0,2,8.2,3,14,16,0,0,71.33
CRO (R),1530,77,Fall,Reference,206,3.092664537,CRO3,0.934348195,37,0.856476002,6,7,9,5,8,31,22,5,5.339805825,18,35.9223301,48.05825243,44.66019417,35.4368932,16,15.5,5,15,15,15,15,14.6,14.6,17.5,20.4,17,27.2,1.9,18.93203883,17,25.7,45.6,7,6,8,5,6,10,16.5,27.7,28.6,20.4,13.6,13.6,21,47.6,8,29.6,0,0,4,10.2,4,12.6,19,0,0,69.55
CRO (R),1160,82,Fall,Reference,202,3.021198109,CRO4,0.932653661,34,0.856746804,6,7,8,5,6,28,21,5,6.435643564,18,44.55445545,53.96039604,52.47524752,42.57425743,15,20.8,5,19.8,17.3,16.3,17.3,16.3,15.3,15.8,23.8,11.9,32.2,0.5,12.37623762,11.9,23.8,51,7,7,6,3,5,8,30.2,24.8,23.8,9.4,12.9,7.4,21,38.6,7,29.2,0,0,1,11.9,4,19.3,16,0,0,72.63
CRO (R),775,90,Fall,Reference,190,2.723626569,CRO5,0.886426593,32,0.785872509,6,6,5,5,8,26,17,3,4.210526316,15,55.26315789,60,59.47368421,47.36842105,11,32.1,5,31.1,18.9,12.1,18.9,16.8,10,8.9,23.2,15.8,23.7,2.6,18.42105263,25.8,41.6,62.1,7,6,6,3,3,10,23.7,23.2,37.9,10,6.3,8.9,17,35.3,8,26.3,0,0,3,8.9,4,29.5,12,1,0.52632,71.55
CRO (R),340,85,Fall,Reference,208,2.891977398,CRO6,0.912305843,34,0.820102589,5,6,5,4,9,29,16,4,4.807692308,15,56.25,56.73076923,56.73076923,36.05769231,11,17.3,5,17.3,34.1,13.9,34.1,30.3,10.1,5.3,38.9,11.5,22.1,1,12.5,20.2,31.7,57.7,7,5,9,6,1,11,35.1,16.3,31.7,15.9,0.5,15.9,16,54.3,11,24.5,0,0,4,8.7,2,12,18,1,1.44231,81.65
CRO (R),0,51,Fall,Reference,174,2.897292817,CRO7,0.91709605,32,0.835981996,7,9,3,3,6,25,19,2,2.873563218,18,52.29885057,55.17241379,55.17241379,44.82758621,12,30.5,6,29.9,19,12.1,19,17.8,10.9,5.7,21.8,14.9,20.1,1.7,16.66666667,14.9,29.9,56.9,6,6,6,2,2,12,16.1,23.6,43.1,17.8,3.4,13.8,17,59.2,8,24.7,0,0,4,6.3,3,9.8,15,1,0.57471,79.22
EAS (R),2115,24,Fall,Reference,196,2.845142055,EAS1,0.914566847,31,0.828524361,8,8,7,2,5,23,23,4,8.163265306,20,53.57142857,82.65306122,77.04081633,48.97959184,15,33.7,6,30.6,11.7,10.2,11.7,11.7,10.2,37.2,19.9,8.2,10.7,0,8.163265306,20.4,31.6,52.6,4,7,5,2,6,9,8.2,24.5,23.5,5.6,31.1,12.8,20,62.8,4,10.2,0,0,3,6.1,4,20.9,17,0,0,73.37
EAS (R),1755,25,Fall,Reference,206,2.676408201,EAS2,0.890658875,29,0.794824196,7,6,6,3,5,22,19,3,11.16504854,16,40.29126214,70.38834951,70.38834951,38.34951456,12,20.4,6,18.9,8.7,8.3,8.7,8.7,8.3,41.3,19.9,10.7,13.6,0.5,11.16504854,25.2,35.9,62.6,3,7,6,3,5,8,3.9,18.9,28.2,15,31.6,17.5,17,69.4,7,14.6,0,0,2,3.4,3,12.6,18,1,0.48544,72.02
EAS (R),1505,21,Fall,Reference,186,2.65981317,EAS3,0.892473118,24,0.83693144,8,5,5,2,3,16,18,2,6.989247312,15,45.16129032,77.41935484,74.7311828,39.24731183,10,24.2,6,21,14,11.3,14,14,11.3,39.2,21,15.1,16.1,0,15.05376344,24.7,39.8,56.5,3,5,6,2,4,6,7.5,28,17.2,5.9,33.9,13.4,16,65.1,3,16.1,0,0,1,4.3,4,14.5,13,0,0,67.68
EAS (R),1180,20,Fall,Reference,206,2.657491632,EAS4,0.888538034,26,0.815657732,7,6,6,2,5,19,19,3,8.252427184,16,37.37864078,66.50485437,63.10679612,32.52427184,12,20.4,5,17.5,8.7,6.8,8.7,8.7,6.8,37.4,17,21.4,24.3,0,21.3592233,21.4,42.7,58.3,2,5,5,2,5,7,3.4,33.5,17.5,9.2,32,12.6,16,62.1,3,22.8,0,0,2,2.4,4,12.1,14,0,0,63.86
EAS (R),855,19,Fall,Reference,182,2.650926189,EAS5,0.880207704,27,0.804325668,6,7,7,3,2,21,20,4,10.43956044,17,46.15384615,81.31868132,79.67032967,43.95604396,14,29.7,5,28,6,5.5,6,6,5.5,45.6,16.5,6.6,7.1,0,6.593406593,29.1,39.6,57.7,4,4,6,3,6,7,3.3,24.2,22.5,10.4,39.6,10.4,20,78,2,7.1,0,0,2,2.2,3,12.6,16,0,0,72.04
EAS (R),615,18,Fall,Reference,185,2.752280957,EAS6,0.900043828,26,0.844751199,8,6,7,2,2,18,21,3,10.81081081,17,56.75675676,88.10810811,88.10810811,52.43243243,13,31.9,6,29.2,14.1,12.4,14.1,14.1,12.4,42.2,24.9,3.8,4.3,0.5,4.324324324,23.2,38.4,56.2,4,6,7,3,5,4,10.3,24.3,20,8.1,33,12.4,18,87,3,4.9,0,0,1,2.2,4,5.9,17,0,0,73.72
EAS (R),330,16,Fall,Reference,178,2.770049505,EAS7,0.895783361,28,0.831296367,7,4,8,3,5,21,19,4,10.11235955,15,43.25842697,76.96629213,74.15730337,41.01123596,12,24.2,6,21.9,9,9,9,9,9,43.8,19.1,7.3,9.6,0,7.303370787,26.4,36.5,55.1,3,3,9,4,6,7,4.5,19.7,25.3,13.5,36.5,14,20,83.7,4,9.6,0,0,2,1.1,2,5.6,15,0,0,72.76
EAS (R),0,15,Fall,Reference,196,2.859639193,EAS8,0.913681799,27,0.867651923,6,7,6,3,3,21,19,3,7.142857143,16,42.34693878,72.95918367,65.81632653,39.28571429,13,20.4,5,19.4,14.8,12.8,14.8,14.8,12.8,37.8,21.9,10.7,13.3,1,11.73469388,21.9,32.7,52,5,5,8,4,4,5,8.7,21.4,24.5,12.2,31.6,13.8,18,80.1,4,14.3,0,0,2,1.5,3,4.1,16,0,0,73.94
FRY (L),2095,468,Fall,Low-level,226,2.5073169,FRY1,0.870937427,24,0.788947272,2,4,6,5,4,22,12,3,4.424778761,9,13.27433628,60.17699115,46.01769912,12.83185841,10,3.5,1,3.1,5.3,5.3,5.3,5.3,5.3,51.3,9.7,1.8,12.8,0.4,2.212389381,28.3,42.5,67.3,3,3,7,6,4,7,11.5,2.7,29.2,26.1,50,6.6,16,82.3,5,14.6,0,0,2,2.7,1,0.4,10,0,0,58.6
FRY (L),1775,480,Fall,Low-level,198,2.417359122,FRY2,0.806346291,28,0.725453409,3,5,8,4,5,25,16,4,7.575757576,12,18.18181818,69.19191919,61.61616162,17.17171717,13,5.6,2,5.1,5.1,4.5,5.1,5.1,4.5,58.6,12.6,2,9.6,2,4.04040404,41.4,49,64.6,4,4,7,5,6,7,8.1,5.1,23.2,18.2,53.5,10.1,18,82.8,5,12.6,0,0,3,3.5,2,1,13,0,0,59.61
FRY (L),1480,473,Fall,Low-level,189,2.250707901,FRY3,0.817110383,21,0.739264678,1,4,7,3,4,20,12,3,4.232804233,8,15.34391534,74.07407407,55.02645503,15.34391534,11,3.7,1,3.7,7.4,7.4,7.4,7.4,7.4,63,11.6,1.6,11.1,0,1.587301587,36,55,72,3,2,4,3,5,7,12.2,2.1,14.8,11.1,59.8,11.1,14,82,3,13.2,0,0,3,4.2,1,0.5,12,0,0,58.51
FRY (L),1155,490,Fall,Low-level,193,2.429544619,FRY4,0.822733496,28,0.729110297,3,8,6,5,5,25,17,3,7.772020725,14,23.31606218,75.12953368,63.73056995,22.27979275,14,5.2,2,4.7,10.4,9.8,10.4,9.8,9.3,59.6,18.1,0.5,8.8,0,0.518134715,38.3,49.7,67.4,6,3,7,5,5,7,13,2.6,18.1,13.5,53.4,13,20,86.5,4,9.3,0,0,3,3.6,1,0.5,15,0,0,61.46
